name;mechanical_depth;strategic_depth;reflex_focus;build_variety;narrative_importance;player_agency;worldbuilding;drama;darkness;comedy;difficulty;punishment;grindiness;progression_speed;openness;replayability;systemic_complexity
Fifa 26;7;6;3;5;0;0;0;0;0;0;6;0;7;4;0;1;6
Guilty Gear Strive;1;1;1;1;0;0;7;6;3;3;1;8;9;1;0;1;1
Resident Evil 4;5;3;4;3;4;0;6;4;7;1;5;5;3;5;4;6;4
God of War: Ragnarok;3;3;4;1;7;0;7;8;8;4;3;3;2;7;3;4;2
Castlevania: Dawn of Sorrow;4;3;3;5;3;0;6;6;6;3;4;5;3;6;6;5;5
Baba is You;0;1;0;3;0;2;2;0;1;5;1;0;1;3;8;3;1
Hollow Knight;5;5;5;5;5;4;6;5;5;2;6;6;7;4;9;6;6
Outer Wilds;3;1;2;6;1;1;1;7;4;4;8;2;0;4;1;0;9
Five Nights at Freddys;0;8;1;3;0;0;3;0;1;3;4;8;6;1;0;8;6
Omega Strikers;9;1;8;8;0;0;4;0;1;4;7;7;7;7;0;1;4
Slay the Princess;0;0;0;1;1;8;9;1;9;7;0;0;3;8;7;8;2
Katana Zero;6;5;8;6;5;3;7;8;9;5;7;3;7;7;2;7;1
The Witness;0;1;0;7;3;7;6;1;2;4;8;0;1;3;1;4;1
